#Pinus sylvestris needle WEIGHTED (1/3 current-year + 2/3 old) reflectance and transmittance, 20160725, from Specchio		
#Hovi A.,  Raitio P., Rautiainen M. (2017). A spectral analysis of 25 boreal tree species. Silva Fennica vol. 51 no. 4 article id 7753. https://doi.org/10.14214/sf.7753		
#wl	R_weighted	T_weighted
1404	0.169	0.112
1405	0.165	0.108
1406	0.161	0.105
1407	0.158	0.102
1408	0.154	0.100
1409	0.151	0.097
1410	0.148	0.095
1411	0.145	0.093
1412	0.143	0.091
1413	0.140	0.089
1414	0.138	0.087
1415	0.136	0.085
1416	0.134	0.084
1417	0.132	0.083
1418	0.131	0.081
1419	0.129	0.080
1420	0.128	0.079
1421	0.126	0.078
1422	0.125	0.077
1423	0.124	0.076
1424	0.123	0.076
1425	0.122	0.075
1426	0.121	0.074
1427	0.120	0.074
1428	0.119	0.073
1429	0.119	0.073
1430	0.118	0.072
1431	0.118	0.072
1432	0.117	0.071
1433	0.117	0.071
1434	0.116	0.071
1435	0.116	0.071
1436	0.115	0.070
1437	0.115	0.070
1438	0.115	0.070
1439	0.114	0.070
1440	0.114	0.070
1441	0.114	0.070
1442	0.114	0.069
1443	0.114	0.069
1444	0.114	0.069
1445	0.113	0.069
1446	0.113	0.069
1447	0.113	0.069
1448	0.113	0.069
1449	0.113	0.069
1450	0.113	0.069
1451	0.113	0.069
1452	0.113	0.069
1453	0.114	0.070
1454	0.114	0.070
1455	0.114	0.070
1456	0.114	0.070
1457	0.114	0.070
1458	0.114	0.070
1459	0.114	0.070
1460	0.115	0.071
1461	0.115	0.071
1462	0.115	0.071
1463	0.116	0.071
1464	0.116	0.072
1465	0.116	0.072
1466	0.117	0.072
1467	0.117	0.073
1468	0.118	0.073
1469	0.118	0.074
1470	0.119	0.074
1471	0.120	0.074
1472	0.120	0.075
1473	0.121	0.076
1474	0.122	0.076
1475	0.122	0.077
1476	0.123	0.077
1477	0.124	0.078
1478	0.125	0.079
1479	0.126	0.079
1480	0.126	0.080
1481	0.127	0.081
1482	0.128	0.081
1483	0.129	0.082
1484	0.130	0.083
1485	0.131	0.084
1486	0.132	0.084
1487	0.133	0.085
1488	0.134	0.086
1489	0.135	0.087
1490	0.136	0.088
1491	0.137	0.088
1492	0.138	0.089
1493	0.139	0.090
1494	0.140	0.091
1495	0.141	0.092
1496	0.142	0.093
1497	0.143	0.094
1498	0.144	0.094
1499	0.145	0.095
1500	0.146	0.096
1501	0.148	0.097
1502	0.149	0.098
1503	0.150	0.099
1504	0.151	0.100
1505	0.152	0.101
1506	0.153	0.102
1507	0.154	0.103
1508	0.155	0.104
1509	0.157	0.105
1510	0.158	0.106
1511	0.159	0.107
1512	0.160	0.108
1513	0.161	0.109
1514	0.162	0.110
1515	0.163	0.111
1516	0.165	0.112
1517	0.166	0.113
1518	0.167	0.114
1519	0.168	0.115
1520	0.169	0.116
1521	0.170	0.116
1522	0.171	0.117
1523	0.173	0.118
1524	0.174	0.119
1525	0.175	0.120
1526	0.176	0.121
1527	0.177	0.122
1528	0.178	0.123
1529	0.179	0.124
1530	0.180	0.125
1531	0.181	0.126
1532	0.182	0.127
1533	0.184	0.128
1534	0.185	0.129
1535	0.186	0.130
1536	0.187	0.131
1537	0.188	0.132
1538	0.189	0.133
1539	0.190	0.133
1540	0.191	0.134
1541	0.192	0.135
1542	0.193	0.136
1543	0.194	0.137
1544	0.195	0.138
1545	0.196	0.139
1546	0.197	0.140
1547	0.198	0.141
1548	0.199	0.142
1549	0.200	0.143
1550	0.201	0.143
1551	0.202	0.144
1552	0.203	0.145
1553	0.204	0.146
1554	0.205	0.147
1555	0.206	0.148
1556	0.207	0.149
1557	0.208	0.150
1558	0.209	0.150
1559	0.210	0.151
1560	0.211	0.152
1561	0.212	0.153
1562	0.213	0.154
1563	0.214	0.154
1564	0.215	0.155
1565	0.216	0.156
1566	0.216	0.157
1567	0.217	0.158
1568	0.218	0.158
1569	0.219	0.159
1570	0.220	0.160
1571	0.221	0.161
1572	0.222	0.162
1573	0.222	0.162
1574	0.223	0.163
1575	0.224	0.164
1576	0.225	0.165
1577	0.226	0.165
1578	0.227	0.166
1579	0.227	0.167
1580	0.228	0.168
1581	0.229	0.168
1582	0.230	0.169
1583	0.231	0.170
1584	0.231	0.170
1585	0.232	0.171
1586	0.233	0.172
1587	0.234	0.173
1588	0.235	0.173
1589	0.235	0.174
1590	0.236	0.175
1591	0.237	0.175
1592	0.238	0.176
1593	0.239	0.177
1594	0.239	0.178
1595	0.240	0.178
1596	0.241	0.179
1597	0.242	0.180
1598	0.242	0.180
1599	0.243	0.181
1600	0.244	0.182
1601	0.245	0.182
1602	0.245	0.183
1603	0.246	0.184
1604	0.247	0.184
1605	0.248	0.185
1606	0.248	0.186
1607	0.249	0.186
1608	0.250	0.187
1609	0.251	0.188
1610	0.251	0.188
1611	0.252	0.189
1612	0.253	0.190
1613	0.253	0.190
1614	0.254	0.191
1615	0.255	0.191
1616	0.255	0.192
1617	0.256	0.193
1618	0.256	0.193
1619	0.257	0.194
1620	0.258	0.194
1621	0.258	0.195
1622	0.259	0.195
1623	0.259	0.196
1624	0.260	0.196
1625	0.260	0.197
1626	0.261	0.197
1627	0.261	0.198
1628	0.262	0.198
1629	0.262	0.198
1630	0.263	0.199
1631	0.263	0.199
1632	0.264	0.200
1633	0.264	0.200
1634	0.265	0.201
1635	0.265	0.201
1636	0.266	0.202
1637	0.266	0.202
1638	0.267	0.202
1639	0.267	0.203
1640	0.268	0.203
1641	0.268	0.204
1642	0.268	0.204
1643	0.269	0.204
1644	0.269	0.205
1645	0.270	0.205
1646	0.270	0.205
1647	0.270	0.206
1648	0.270	0.206
1649	0.271	0.206
1650	0.271	0.206
1651	0.271	0.207
1652	0.271	0.207
1653	0.271	0.207
1654	0.272	0.207
1655	0.272	0.207
1656	0.272	0.207
1657	0.272	0.207
1658	0.272	0.207
1659	0.272	0.207
1660	0.272	0.207
1661	0.272	0.207
1662	0.272	0.207
1663	0.272	0.207
1664	0.272	0.207
1665	0.271	0.207
1666	0.271	0.207
1667	0.271	0.207
1668	0.271	0.207
1669	0.271	0.207
1670	0.271	0.207
1671	0.271	0.207
1672	0.270	0.207
1673	0.270	0.206
1674	0.270	0.206
1675	0.270	0.206
1676	0.269	0.206
1677	0.269	0.206
1678	0.269	0.205
1679	0.269	0.205
1680	0.268	0.205
1681	0.268	0.205
1682	0.267	0.204
